iter	Passed	Remaining
193	54469	507069
194	54766	506945
195	55034	506537
196	55311	506222
197	55548	505551
198	55820	505186
199	56094	504851
200	56376	504582
201	56605	503840
202	56885	503559
203	57167	503296
204	57407	502663
205	57677	502298
206	58001	502397
207	58353	502733
208	58647	502575
209	58923	502248
210	59228	502177
211	59466	501535
212	59715	500993
213	60056	501218
214	60377	501273
215	60666	501062
216	60952	500820
217	61202	500285
218	61481	499992
219	61777	499835
220	62094	499849
221	62335	499242
222	62589	498755
223	62880	498550
224	63333	499630
225	63621	499398
226	63830	498551
227	64071	497963
228	64325	497469
229	64594	497093
230	64784	496123
231	65109	496176
232	65429	496193
233	65744	496176
234	66122	496625
235	66512	497155
236	66824	497094
237	67088	496680
238	67338	496160
239	67646	496077
240	67898	495575
241	68166	495191
242	68496	495263
243	68731	494640
244	68941	493845
245	69190	493333
246	69438	492814
247	69727	492590
248	69998	492241
249	70311	492180
250	70543	491558
251	70816	491221
252	71124	491124
253	71344	490423
254	71539	489554
255	71826	489314
256	72095	488958
257	72437	489092
258	72777	489213
259	73099	489206
260	73421	489194
261	73763	489315
262	74026	488914
263	74273	488401
264	74511	487838
265	74823	487758
266	75023	486951
267	75297	486622
268	75526	486011
269	75755	485398
270	75980	484762
271	76241	484357
272	76587	484493
273	76878	484275
274	77154	483971
275	77463	483863
276	77691	483259
277	77887	482453
278	78199	482370
279	78457	481954
280	78719	481561
281	78938	480908
282	79212	480592
283	79436	479972
284	79666	479398
285	79903	478865
286	80097	478070
287	80364	477720
288	80602	477199
289	80884	476941
290	81191	476824
291	81391	476086
292	81633	475590
293	81877	475110
294	82195	475059
295	82482	474834
296	82717	474303
297	82999	474046
298	83250	473608
299	83570	473565
300	83802	473027
301	84069	472681
302	84307	472176
303	84575	471844
304	84760	471047
305	85005	470584
306	85262	470191
307	85520	469809
308	85720	469104
309	85979	468729
310	86233	468323
311	86487	467917
312	86809	467882
313	87010	467196
314	87272	466838
315	87573	466690
316	87863	466478
317	88128	466138
318	88353	465584
319	88630	465312
320	88883	464907
321	89127	464460
322	89405	464189
323	89652	463757
324	89850	463075
325	90161	462974
326	90394	462478
327	90646	462077
328	90943	461904
329	91203	461544
330	91445	461095
331	91736	460894
332	91949	460298
333	92174	459769
334	92489	459688
335	92815	459659
336	93065	459253
337	93394	459236
338	93642	458822
339	93885	458380
340	94177	458185
341	94489	458080
342	94777	457862
343	95038	457509
344	95344	457377
345	95589	456950
346	95811	456416
347	96089	456146
348	96371	455901
349	96612	455457
350	96921	455339
351	97201	455080
352	97424	454553
353	97635	453976
354	97981	454028
355	98287	453888
356	98616	453858
357	98947	453829
358	99257	453708
359	99626	453852
360	99960	453837
361	100221	453489
362	100563	453503
363	100829	453177
364	101064	452713
365	101355	452499
366	101716	452598
367	101963	452184
368	102233	451875
369	102512	451610
370	102783	451305
371	103023	450867
372	103242	450335
373	103451	449764
374	103662	449204
375	103887	448707
376	104154	448391
377	104413	448040
378	104715	447871
379	105008	447666
380	105237	447188
381	105568	447145
382	105794	446657
383	106072	446387
384	106359	446157
385	106573	445619
386	106837	445294
387	107086	444905
388	107310	444414
389	107639	444356
390	107918	444095
391	108092	443400
392	108309	442883
393	108568	442538
394	108824	442184
395	109089	441865
396	109387	441682
397	109608	441186
